"wolves.added","wolf.failures","moose.failures","total.failures","survival.rate"
1,16999,0,16999,5.88235294117647e-05
2,16998,0,16998,0.000117647058823529
3,16999,0,16999,5.88235294117647e-05
4,16999,0,16999,5.88235294117647e-05
5,16944,0,16944,0.00329411764705882
6,15677,0,15677,0.0778235294117647
7,11141,0,11141,0.344647058823529
8,6666,0,6666,0.607882352941176
9,3902,0,3902,0.770470588235294
10,2479,0,2479,0.854176470588235
11,1692,1,1693,0.900411764705882
12,1197,1,1198,0.929529411764706
13,801,0,801,0.952882352941177
14,600,0,600,0.964705882352941
15,500,0,500,0.970588235294118
16,408,0,408,0.976
17,387,0,387,0.977235294117647
18,337,1,338,0.980117647058824
19,282,1,283,0.983352941176471
20,278,1,279,0.983588235294118
21,257,0,257,0.984882352941176
22,257,0,257,0.984882352941176
23,246,0,246,0.985529411764706
24,226,2,228,0.986588235294118
25,236,1,237,0.986058823529412
26,246,3,249,0.985352941176471
27,257,2,259,0.984764705882353
28,216,0,216,0.987294117647059
29,226,3,229,0.986529411764706
30,188,3,191,0.988764705882353
31,219,5,224,0.986823529411765
32,242,8,250,0.985294117647059
33,230,8,238,0.986
34,244,6,250,0.985294117647059
35,219,10,229,0.986529411764706
36,216,11,227,0.986647058823529
37,233,18,251,0.985235294117647
38,244,25,269,0.984176470588235
39,257,33,290,0.982941176470588
40,253,27,280,0.983529411764706
41,250,28,278,0.983647058823529
42,266,43,309,0.981823529411765
43,246,60,306,0.982
44,248,71,319,0.981235294117647
45,260,91,351,0.979352941176471
46,317,86,403,0.976294117647059
47,265,114,379,0.977705882352941
48,274,146,420,0.975294117647059
49,287,176,463,0.972764705882353
50,316,195,511,0.969941176470588
51,272,216,488,0.971294117647059
52,306,228,534,0.968588235294118
53,335,299,634,0.962705882352941
54,334,327,661,0.961117647058824
55,307,406,713,0.958058823529412
56,327,448,775,0.954411764705882
57,329,484,813,0.952176470588235
58,319,565,884,0.948
59,339,652,991,0.941705882352941
60,328,717,1045,0.938529411764706
61,365,821,1186,0.930235294117647
62,346,866,1212,0.928705882352941
63,321,989,1310,0.922941176470588
64,326,1100,1426,0.916117647058823
65,363,1207,1570,0.907647058823529
66,326,1426,1752,0.896941176470588
67,363,1443,1806,0.893764705882353
68,340,1608,1948,0.885411764705882
69,351,1795,2146,0.873764705882353
70,370,1899,2269,0.866529411764706
71,349,2141,2490,0.853529411764706
72,329,2304,2633,0.845117647058824
73,308,2510,2818,0.834235294117647
74,345,2737,3082,0.818705882352941
75,315,2982,3297,0.806058823529412
76,344,2975,3319,0.804764705882353
77,326,3283,3609,0.787705882352941
78,334,3541,3875,0.772058823529412
79,339,3714,4053,0.761588235294118
80,350,3931,4281,0.748176470588235
81,358,4239,4597,0.729588235294118
82,348,4565,4913,0.711
83,338,4759,5097,0.700176470588235
84,312,5090,5402,0.682235294117647
85,297,5256,5553,0.673352941176471
86,324,5525,5849,0.655941176470588
87,335,5837,6172,0.636941176470588
88,278,6149,6427,0.621941176470588
89,319,6315,6634,0.609764705882353
90,267,6710,6977,0.589588235294118
91,279,6946,7225,0.575
92,273,7248,7521,0.557588235294118
93,274,7513,7787,0.541941176470588
94,280,7746,8026,0.527882352941176
95,261,8155,8416,0.504941176470588
96,283,8384,8667,0.490176470588235
97,254,8686,8940,0.474117647058824
98,247,9000,9247,0.456058823529412
99,229,9218,9447,0.444294117647059
100,215,9434,9649,0.432411764705882
101,240,9732,9972,0.413411764705882
102,202,9975,10177,0.401352941176471
103,205,10209,10414,0.387411764705882
104,206,10399,10605,0.376176470588235
105,193,10709,10902,0.358705882352941
106,189,10957,11146,0.344352941176471
107,211,11218,11429,0.327705882352941
108,159,11392,11551,0.320529411764706
109,148,11715,11863,0.302176470588235
110,149,11952,12101,0.288176470588235
111,141,12130,12271,0.278176470588235
112,152,12356,12508,0.264235294117647
113,134,12497,12631,0.257
114,136,12662,12798,0.247176470588235
115,121,12971,13092,0.229882352941176
116,131,13184,13315,0.216764705882353
117,94,13342,13436,0.209647058823529
118,118,13509,13627,0.198411764705882
119,99,13729,13828,0.186588235294118
120,106,13760,13866,0.184352941176471
121,100,14068,14168,0.166588235294118
122,83,14097,14180,0.165882352941176
123,91,14230,14321,0.157588235294118
124,76,14410,14486,0.147882352941176
125,88,14509,14597,0.141352941176471
126,79,14680,14759,0.131823529411765
127,73,14836,14909,0.123
128,72,14924,14996,0.117882352941176
129,65,15036,15101,0.111705882352941
130,68,15132,15200,0.105882352941176
131,56,15237,15293,0.100411764705882
132,72,15298,15370,0.0958823529411765
133,45,15459,15504,0.088
134,48,15492,15540,0.0858823529411765
135,46,15603,15649,0.0794705882352941
136,45,15837,15882,0.0657647058823529
137,41,15788,15829,0.0688823529411765
138,33,15965,15998,0.0589411764705882
139,36,15900,15936,0.0625882352941177
140,37,15984,16021,0.0575882352941176
141,31,16003,16034,0.0568235294117647
142,31,16131,16162,0.0492941176470588
143,23,16214,16237,0.0448823529411765
144,24,16208,16232,0.0451764705882353
145,27,16178,16205,0.0467647058823529
146,19,16294,16313,0.0404117647058824
147,30,16299,16329,0.0394705882352941
148,26,16307,16333,0.0392352941176471
149,20,16409,16429,0.0335882352941176
150,17,16535,16552,0.0263529411764706
